month,brand_media_std,base_sales_std,awareness_std,consideration_std,equilibrium_error_true
2015-01-01,-1.8580905022188519,0.0,0.0,0.0,0.0
2015-02-01,0.3279577166667201,0.021315708610782722,0.03655269558381082,-0.03615054126310011,0.010209145923390726
2015-03-01,-0.21215343709872503,0.04713257759276217,-0.1663710562566774,-0.03737436813390813,0.16835479300647033
2015-04-01,0.1797096769102258,0.011575770498853818,-0.12691736649558494,-0.07662918490125985,0.12089227343642499
2015-05-01,-0.7933197262429722,-0.011598019317693983,-0.2024995453540509,-0.20394046017840256,0.19140584622488
2015-06-01,-0.4198030831114873,-0.11195485700237796,-0.2270996394976047,-0.28380350783464836,0.13499113641319202
2015-07-01,0.16100650234900815,-0.08780079909107379,-0.2493953321860699,-0.3536457168351249,0.1980821677221654
2015-08-01,-0.1747791901359361,-0.07554463704023659,-0.16222238077809026,-0.27334336650505164,0.12557008874229014
2015-09-01,1.1556104225554633,-0.09405075543160135,-0.022553276899816038,-0.25791023164486593,0.010877455628982138
2015-10-01,0.1771531169439611,-0.17899953274441552,0.026004121400849373,-0.23974402025023547,-0.1119918045673852
2015-11-01,-0.202165997874754,-0.14547008174705822,-0.05362131768984908,-0.2522310485454729,-0.022335358257740807
2015-12-01,-1.196174012370799,-0.04927102515429517,-0.09372994486836746,-0.2924368317917969,0.1140063301372726
2016-01-01,1.084018903881898,-0.17013132709767465,-0.11031113172573598,-0.3179221126741244,0.012843647959997283
2016-02-01,1.4614567947059731,-0.1396508241800326,0.0863613308782579,-0.2297709143685588,-0.11536586922190466
2016-03-01,1.7528798086383897,0.020078823650984734,0.34159419190219864,-0.10858192233387959,-0.16395372826858653
2016-04-01,0.859242906342503,0.13666685642626053,0.3753630426111775,-0.04602488677309757,-0.0912104109004207
2016-05-01,-0.39611485819268677,0.12342659078726159,0.2783366568364151,-0.11854382644443719,-0.016001896900855236
2016-06-01,0.5810047336559293,0.10173148996173392,0.19368646715412363,-0.016102133603259863,-0.01852896692730549
2016-07-01,-0.5778053736191822,0.016994546605208855,0.025335228522218867,0.02930304726752868,-0.009729418477868446
2016-08-01,-1.1609435035532363,0.04476473222723097,-0.14772997823312456,0.0010332887786931519,0.14042756700621933
2016-09-01,-1.0673510958183248,-0.011196702731206626,-0.3285732572294122,-0.06713711385892551,0.22587390431853524
2016-10-01,0.6881151911042578,-0.06510424281615451,-0.40359772630670976,-0.13457377236858337,0.24433509961221103
2016-11-01,1.1434527356493933,-0.1046165129492653,-0.34944734040787584,-0.061573968765032336,0.14407514738361532
2016-12-01,-1.2130993882399148,-0.21287723152506072,-0.4852091845400702,-0.09622490815034916,0.13618745627860715
2017-01-01,0.6111151976611064,-0.25733987531754976,-0.36311547300547403,-0.20531486217404032,0.050545383896922466
2017-02-01,-0.42949478243149086,-0.22476432595216164,-0.34794709336730845,-0.0999890204989009,0.03639744191120416
2017-03-01,-0.6670549552581835,-0.2489147301409296,-0.4336948674413945,-0.08929054012472526,0.0642386227396307
2017-04-01,-0.5709298575631355,-0.3002998347692999,-0.4796486673576279,-0.09138965822763451,0.04345817939283033
2017-05-01,-1.0938778655181212,-0.37186946988047787,-0.7083142553164246,-0.27141213018212784,0.18352904163894285
2017-06-01,0.3970514128465283,-0.5051418255560816,-0.789625391295465,-0.3765633610322004,0.13991185514724086
2017-07-01,0.9828342300960747,-0.5712061295409834,-0.7451045574976682,-0.43080089782475584,0.0638921470711655
2017-08-01,0.009713917533647863,-0.5754983693000554,-0.6323321349626777,-0.45885183305550986,-0.0038843400048863904
2017-09-01,-1.864759743226472,-0.536842415056966,-0.7069197338734168,-0.5801674652411493,0.1257140247951572
2017-10-01,0.02133620481015371,-0.6044013653046388,-0.6856033864420784,-0.553923463154625,0.0351140479868309
2017-11-01,-0.5198061207963596,-0.6346717339825955,-0.7934445019146231,-0.5744932444190323,0.08213982780857083
2017-12-01,-0.264667883973199,-0.5752513788513778,-0.760421375595835,-0.6202016296220991,0.1360930856536497
2018-01-01,1.2702243218800218,-0.5861441199698919,-0.5521340051079949,-0.41753069566296197,-0.08112127316765848
2018-02-01,1.2209483181427063,-0.6668147045489298,-0.31029693012269743,-0.32559825975487217,-0.35116230905497114
2018-03-01,0.08849261378990489,-0.5511504438013481,-0.240511170436934,-0.3422039631165304,-0.27504679592655545
2018-04-01,1.0265406406041984,-0.455586340684334,-0.1341102842454851,-0.3525284155094879,-0.24502971049644792
2018-05-01,-0.8503518658440415,-0.32262242278799697,0.012324391431316611,-0.3324080559340469,-0.2142904576414364
2018-06-01,-0.15188559121295034,-0.2312477447221456,-0.19152706962895408,-0.38382625949803345,0.02758404136098626
